Governorate,Cases,Deaths,Recoveries,Active Cases,Date,Today's Cases,Vaccine Ratio,The Proportion Of Fully Vaccinated
#adm1+name,#affected+infected+confirmed,#affected+infected+dead,#affected+infected+recovered,#affected+infected+active,#date,#affected+infected+today,,
East Jerusalem,30356,268,30088,0,2021-11-15,0,--,--
Jenin Governorate,25569,319,25116,134,2021-11-15,14,0.55,0.51
Tulkarm Governorate,22620,302,22289,29,2021-11-15,4,0.65,0.6
Bethlehem Governorate,18962,245,18611,106,2021-11-15,12,0.73,0.67
Jerusalem Governorate,11638,97,11503,38,2021-11-15,3,0.41,0.39
Qalqilya Governorate,11072,193,10859,20,2021-11-15,2,0.55,0.52
Salfit Governorate,9336,101,9232,3,2021-11-15,1,0.65,0.56
Tubas Governorate,6202,69,6083,50,2021-11-15,2,0.62,0.58
Jericho Governorate,5341,57,5268,16,2021-11-15,1,0.67,0.59
Gaza strip,185691,1616,181902,2173,2021-11-14,75,0.39,0.29
Hebron Governorate,48033,611,47088,334,2021-11-14,43,0.59,0.54
Nablus Governorate,44495,546,43883,66,2021-11-14,7,0.65,0.58
Ramallah and al-Bireh Governorate,37878,331,37367,180,2021-11-14,16,0.83,0.76
East Jerusalem,30356,268,30088,0,2021-11-14,0,--,--
Jenin Governorate,25555,319,25113,123,2021-11-14,15,0.55,0.51
Tulkarm Governorate,22616,302,22284,30,2021-11-14,4,0.65,0.6
Bethlehem Governorate,18950,244,18603,103,2021-11-14,15,0.73,0.67
Jerusalem Governorate,11635,97,11501,37,2021-11-14,2,0.41,0.39
Qalqilya Governorate,11070,193,10859,18,2021-11-14,0,0.55,0.52
Salfit Governorate,9335,101,9231,3,2021-11-14,1,0.65,0.56
Tubas Governorate,6200,69,6079,52,2021-11-14,1,0.62,0.57
Jericho Governorate,5340,57,5268,15th,2021-11-14,6,0.67,0.59
Gaza strip,185417,1610,181422,2385,2021-11-11,138,0.39,0.29
Hebron Governorate,47945,611,47003,331,2021-11-11,24,0.59,0.54
Nablus Governorate,44478,546,43858,74,2021-11-11,8,0.64,0.58
Ramallah and al-Bireh Governorate,37838,331,37294,213,2021-11-11,15,0.83,0.75
East Jerusalem,30356,268,30088,0,2021-11-11,0,--,--
Jenin Governorate,25520,315,25082,123,2021-11-11,18,0.55,0.51
Tulkarm Governorate,22607,302,22274,31,2021-11-11,0,0.65,0.6
Bethlehem Governorate,18918,244,18559,115,2021-11-11,12,0.73,0.67
Jerusalem Governorate,11629,97,11492,40,2021-11-11,3,0.41,0.39
Qalqilya Governorate,11069,192,10853,24,2021-11-11,0,0.55,0.52
Salfit Governorate,9334,101,9230,3,2021-11-11,0,0.65,0.56
Tubas Governorate,6190,69,6072,49,2021-11-11,7,0.62,0.57
Jericho Governorate,5331,57,5260,14,2021-11-11,0,0.67,0.59
Gaza strip,185279,1607,181089,2583,2021-11-10,145,0.39,0.28
Hebron Governorate,47921,610,46959,352,2021-11-10,27,0.59,0.54
Nablus Governorate,44470,545,43849,76,2021-11-10,2,0.64,0.57
Ramallah and al-Bireh Governorate,37823,331,37270,222,2021-11-10,8,0.83,0.75
East Jerusalem,30356,268,30088,0,2021-11-10,0,--,--
Jenin Governorate,25502,315,25067,120,2021-11-10,11,0.55,0.51
Tulkarm Governorate,22607,301,22269,37,2021-11-10,6,0.64,0.59
Bethlehem Governorate,18906,244,18531,131,2021-11-10,15,0.73,0.67
Jerusalem Governorate,11626,97,11489,40,2021-11-10,1,0.41,0.39
Qalqilya Governorate,11069,192,10850,27,2021-11-10,1,0.55,0.52
Salfit Governorate,9334,101,9230,3,2021-11-10,0,0.65,0.55
Tubas Governorate,6183,69,6067,47,2021-11-10,1,0.62,0.57
Jericho Governorate,5331,57,5255,19,2021-11-10,4,0.66,0.59
Gaza strip,185134,1605,180934,2595,2021-11-09,145,0.39,0.28
Hebron Governorate,47894,609,46898,387,2021-11-09,21,0.59,0.54
Nablus Governorate,44468,545,43841,82,2021-11-09,5,0.64,0.57
Ramallah and al-Bireh Governorate,37815,331,37253,231,2021-11-09,6,0.83,0.75
East Jerusalem,30356,268,30088,0,2021-11-09,0,--,--
Jenin Governorate,25491,315,25036,140,2021-11-09,19,0.55,0.51
Tulkarm Governorate,22601,301,22266,34,2021-11-09,4,0.64,0.59
Bethlehem Governorate,18891,243,18508,140,2021-11-09,17,0.73,0.67
Jerusalem Governorate,11625,97,11483,45,2021-11-09,8,0.41,0.38
Qalqilya Governorate,11068,192,10848,28,2021-11-09,0,0.55,0.51
Salfit Governorate,9334,101,9230,3,2021-11-09,0,0.64,0.55
Tubas Governorate,6182,69,6058,55,2021-11-09,8,0.62,0.57
Jericho Governorate,5327,57,5251,19,2021-11-09,4,0.66,0.58
Gaza strip,184989,1603,180699,2687,2021-11-08,159,0.38,0.28
Hebron Governorate,47873,609,46882,382,2021-11-08,37,0.59,0.54
Nablus Governorate,44463,545,43833,85,2021-11-08,8,0.64,0.57
Ramallah and al-Bireh Governorate,37809,331,37235,243,2021-11-08,9,0.83,0.75
East Jerusalem,30356,268,30088,0,2021-11-08,0,--,--
Jenin Governorate,25472,315,25019,138,2021-11-08,11,0.55,0.5
Tulkarm Governorate,22597,301,22264,32,2021-11-08,4,0.64,0.59
Bethlehem Governorate,18874,243,18499,132,2021-11-08,14,0.73,0.67
Jerusalem Governorate,11617,97,11478,42,2021-11-08,8,0.4,0.38
Qalqilya Governorate,11068,192,10847,29,2021-11-08,1,0.55,0.51
Salfit Governorate,9334,101,9230,3,2021-11-08,0,0.64,0.54
Tubas Governorate,6174,69,6055,50,2021-11-08,6,0.62,0.57
Jericho Governorate,5323,57,5247,19,2021-11-08,3,0.66,0.58
Gaza strip,184455,1587,179582,3286,2021-11-04,201,0.38,0.28
Hebron Governorate,47772,604,46771,397,2021-11-04,33,0.59,0.53
Nablus Governorate,44438,544,43777,117,2021-11-04,2,0.63,0.56
Ramallah and al-Bireh Governorate,37760,331,37156,273,2021-11-04,24,0.83,0.75
East Jerusalem,30356,268,30088,0,2021-11-04,0,--,--
Jenin Governorate,25437,315,24941,181,2021-11-04,14,0.55,0.5
Tulkarm Governorate,22581,300,22254,27,2021-11-04,7,0.64,0.59
Bethlehem Governorate,18834,241,18466,127,2021-11-04,7,0.73,0.66
Jerusalem Governorate,11600,97,11453,50,2021-11-04,2,0.4,0.38
Qalqilya Governorate,11066,192,10828,46,2021-11-04,2,0.54,0.51
Salfit Governorate,9331,100,9229,2,2021-11-04,1,0.64,0.54
Tubas Governorate,6158,69,6037,52,2021-11-04,2,0.62,0.57
Jericho Governorate,5311,57,5219,35,2021-11-04,5,0.66,0.58
Gaza strip,184071,1581,179222,3268,2021-11-02,217,0.38,0.27
Hebron Governorate,47700,603,46709,388,2021-11-02,45,0.58,0.53
Nablus Governorate,44425,542,43746,137,2021-11-02,6,0.61,0.54
Ramallah and al-Bireh Governorate,37719,331,37129,259,2021-11-02,33,0.82,0.74
East Jerusalem,30356,268,30088,0,2021-11-02,0,--,--
Jenin Governorate,25406,314,24901,191,2021-11-02,15,0.55,0.5
Tulkarm Governorate,22571,300,22246,25,2021-11-02,2,0.64,0.59
Bethlehem Governorate,18816,241,18423,152,2021-11-02,9,0.72,0.66
Jerusalem Governorate,11596,97,11447,52,2021-11-02,4,0.4,0.37
Qalqilya Governorate,11063,191,10821,51,2021-11-02,2,0.54,0.51
Salfit Governorate,9329,100,9225,4,2021-11-02,0,0.64,0.53
Tubas Governorate,6154,69,6025,60,2021-11-02,0,0.62,0.57
Jericho Governorate,5303,57,5209,37,2021-11-02,4,0.65,0.57
Gaza strip,183613,1571,178112,3930,2021-10-31,125,0.38,0.27
Hebron Governorate,47589,603,46654,332,2021-10-31,20,0.58,0.53
Nablus Governorate,44412,542,43702,168,2021-10-31,9,0.6,0.53
Ramallah and al-Bireh Governorate,37662,331,37093,238,2021-10-31,18,0.82,0.73
East Jerusalem,30356,268,30088,0,2021-10-31,0,--,--
Jenin Governorate,25366,313,24877,176,2021-10-31,19,0.54,0.49
Tulkarm Governorate,22565,299,22236,30,2021-10-31,4,0.64,0.58
Bethlehem Governorate,18795,241,18407,147,2021-10-31,19,0.72,0.65
Jerusalem Governorate,11585,97,11421,67,2021-10-31,3,0.39,0.36
Qalqilya Governorate,11060,191,10814,55,2021-10-31,1,0.54,0.5
Salfit Governorate,9329,100,9225,4,2021-10-31,0,0.64,0.53
Tubas Governorate,6152,69,6011,72,2021-10-31,9,0.62,0.56
Jericho Governorate,5298,56,5197,45,2021-10-31,8,0.65,0.57
Gaza strip,183118,1559,176668,4891,2021-10-28,229,0.37,0.26
Hebron Governorate,47528,602,46567,359,2021-10-28,42,0.58,0.52
Nablus Governorate,44389,540,43663,186,2021-10-28,6,0.6,0.52
Ramallah and al-Bireh Governorate,37606,331,37014,261,2021-10-28,23,0.82,0.73
East Jerusalem,30356,268,30088,0,2021-10-28,0,--,--
Jenin Governorate,25311,310,24808,193,2021-10-28,18,0.54,0.49
Tulkarm Governorate,22558,299,22220,39,2021-10-28,3,0.63,0.58
Bethlehem Governorate,18749,241,18375,133,2021-10-28,18,0.72,0.65
Jerusalem Governorate,11576,97,11390,89,2021-10-28,5,0.39,0.36
Qalqilya Governorate,11054,191,10805,58,2021-10-28,4,0.54,0.5
Salfit Governorate,9328,100,9211,17,2021-10-28,0,0.63,0.52
Tubas Governorate,6137,69,5987,81,2021-10-28,1,0.61,0.56
Jericho Governorate,5287,56,5176,55,2021-10-28,6,0.64,0.56
Gaza strip,182889,1554,176100,5235,2021-10-27,240,0.37,0.26
Hebron Governorate,47486,602,46535,349,2021-10-27,38,0.58,0.52
Nablus Governorate,44383,540,43631,212,2021-10-27,8,0.59,0.52
Ramallah and al-Bireh Governorate,37583,331,36997,255,2021-10-27,25,0.82,0.72
East Jerusalem,30356,268,30088,0,2021-10-27,0,--,--
Jenin Governorate,25293,309,24777,207,2021-10-27,24,0.54,0.48
Tulkarm Governorate,22555,299,22217,39,2021-10-27,2,0.63,0.58
Bethlehem Governorate,18731,241,18357,133,2021-10-27,10,0.72,0.64
Jerusalem Governorate,11571,97,11384,90,2021-10-27,6,0.39,0.35
Qalqilya Governorate,11050,191,10802,57,2021-10-27,0,0.54,0.5
Salfit Governorate,9328,100,9210,18,2021-10-27,0,0.63,0.51
Tubas Governorate,6136,69,5985,82,2021-10-27,6,0.61,0.56
Jericho Governorate,5281,56,5168,57,2021-10-27,11,0.64,0.56
Gaza strip,182649,1548,175300,5801,2021-10-26,256,0.37,0.26
Hebron Governorate,47448,602,46495,351,2021-10-26,31,0.58,0.51
Nablus Governorate,44375,540,43596,239,2021-10-26,10,0.59,0.52
Ramallah and al-Bireh Governorate,37558,331,36977,250,2021-10-26,22,0.81,0.72
East Jerusalem,30356,268,30088,0,2021-10-26,0,--,--
Jenin Governorate,25269,309,24739,221,2021-10-26,17,0.54,0.48
Tulkarm Governorate,22553,299,22210,44,2021-10-26,3,0.63,0.57
Bethlehem Governorate,18721,241,18340,140,2021-10-26,11,0.71,0.64
Jerusalem Governorate,11565,97,11374,94,2021-10-26,9,0.39,0.35
Qalqilya Governorate,11050,191,10798,61,2021-10-26,4,0.54,0.5
Salfit Governorate,9328,100,9206,22,2021-10-26,1,0.63,0.51
Tubas Governorate,6130,69,5981,80,2021-10-26,6,0.61,0.56
Jericho Governorate,5270,56,5160,54,2021-10-26,5,0.64,0.55
Gaza strip,182079,1538,173622,6919,2021-10-24,139,0.37,0.26
Hebron Governorate,47384,602,46445,337,2021-10-24,46,0.57,0.51
Nablus Governorate,44353,540,43532,281,2021-10-24,16,0.59,0.51
Ramallah and al-Bireh Governorate,37519,331,36927,261,2021-10-24,10,0.81,0.71
East Jerusalem,30356,268,30088,0,2021-10-24,0,--,--
Jenin Governorate,25229,305,24693,231,2021-10-24,17,0.54,0.48
